start_station_name,end_station_name,num_trips
Marienlyst,Stavangergata,1
Sofienbergparken sør,7. juni-plassen,1
Hammersborg Torg,Henrik Ibsens gate,1
Sofienbergparken nordvest,Via Vika,1
Sofienbergparken nordvest,Uranienborgparken,1
Hammersborg Torg,Lindern,1
Chr. Michelsens Gate,Bjølsendumpa,1
Marienlyst,Stockfleths gate,1
Hammersborg Torg,Hasle Torg,1
Sofienbergparken nordvest,Uelands gate,1
Sofienbergparken nordvest,Tordenskiolds gate,1
Chr. Michelsens Gate,Briskeby,1
Chr. Michelsens Gate,Carl Berners plass nord,1
Sofienbergparken nordvest,Thereses gate,1
Chr. Michelsens Gate,Colbjørnsens gate,1
Sofienbergparken nordvest,Sørvest for Slottsparken,1
Marienlyst,Stensgata,1
Sogn Studentby,Jess Carlsens gate,1
Sofienbergparken sør,Kampen park Øst,1
Sofienbergparken sør,Klingenberggata,1
Sogn Studentby,Blindern Studenthus,1
Sogn Studentby,Bjølsen Studentby,1
Sogn Studentby,Bislettgata,1
Sogn Studentby,Akersgata,1
Hammersborg Torg,Sognsveien,1
Marienlyst,Griffenfeldts gate,1
Marienlyst,Gunerius,1
Marienlyst,Hasle Torg,1
Sofienbergparken sør,Vestkanttorvet,1
Hammersborg Torg,Skøyen Stasjon,1
Carl Berners plass sør,Henrik Wergelands allé,1
Hammersborg Torg,Skøyen,1
Carl Berners plass sør,Huk 2,1
Hammersborg Torg,Skovveien,1
Sofienbergparken sør,Universitetsgata,1
Sofienbergparken sør,Ullevål sykehus,1
Marienlyst,Hausmanns gate,1
Sofienbergparken sør,Torshovdalen øst,1
Marienlyst,Hesselbergs Gate,1
Marienlyst,Frognerveien,1
Sofienbergparken sør,Tannlegehøyskolen,1
Sogn Studentby,Botanisk Hage vest,1
Carl Berners plass sør,Frognerveien,1
Carl Berners plass sør,Bøkkerveien,1
Sogn Studentby,Jernbanetorget,1
Sogn Studentby,Huitfeldts gate,1
Carl Berners plass sør,Colbjørnsens gate,1
Carl Berners plass sør,Colletts gate,1
Carl Berners plass sør,Diakonhjemmet,1
Marienlyst,Filipstadveien,1
Sogn Studentby,Hammersborg Torg,1
Sogn Studentby,Hallénparken,1
Marienlyst,Forskningsveien,1
